Title,Content,sp_players,Title,Title
"Amaro Castro &#8211; Arance Ibieta vs Sica - Pizarro",,,"Amaro Castro &#8211; Arance Ibieta vs Sica - Pizarro","Amaro Castro &#8211; Arance Ibieta vs Sica - Pizarro"
"Vogel &#8211; Silva vs Martiz - Kattan",,,"Vogel &#8211; Silva vs Martiz - Kattan","Vogel &#8211; Silva vs Martiz - Kattan"
"Álvarez Jara &#8211; Álvarez Velez vs Botero Piedrahita - Verástegui",,,"Álvarez Jara &#8211; Álvarez Velez vs Botero Piedrahita - Verástegui","Álvarez Jara &#8211; Álvarez Velez vs Botero Piedrahita - Verástegui"
"Eyzaguirre &#8211; Casasempere vs Freyre - Brosky",,,"Eyzaguirre &#8211; Casasempere vs Freyre - Brosky","Eyzaguirre &#8211; Casasempere vs Freyre - Brosky"
"Giusti &#8211; Rivera vs Hurtado Sotomayor - Martínez Cuadro",,,"Giusti &#8211; Rivera vs Hurtado Sotomayor - Martínez Cuadro","Giusti &#8211; Rivera vs Hurtado Sotomayor - Martínez Cuadro"
"Montaner Reyes &#8211; Montaner Covarrubias vs Ponce - Unda",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Ponce - Unda","Montaner Reyes &#8211; Montaner Covarrubias vs Ponce - Unda"
"Romero Duarte &#8211; Valenzuela vs Sfeir - Amigo",,,"Romero Duarte &#8211; Valenzuela vs Sfeir - Amigo","Romero Duarte &#8211; Valenzuela vs Sfeir - Amigo"
"Valenzuela Niedbalski &#8211; Garcia vs Vargas - Diaz",,,"Valenzuela Niedbalski &#8211; Garcia vs Vargas - Diaz","Valenzuela Niedbalski &#8211; Garcia vs Vargas - Diaz"
"Vera &#8211; Viel vs Vidal - Benítez",,,"Vera &#8211; Viel vs Vidal - Benítez","Vera &#8211; Viel vs Vidal - Benítez"
"Romero &#8211; Merino vs Amaro Castro - Arance Ibieta",,,"Romero &#8211; Merino vs Amaro Castro - Arance Ibieta","Romero &#8211; Merino vs Amaro Castro - Arance Ibieta"
"Ponce &#8211; Unda vs Vogel - Silva",,,"Ponce &#8211; Unda vs Vogel - Silva","Ponce &#8211; Unda vs Vogel - Silva"
"Sica &#8211; Pizarro vs Álvares Jara - Álvarez Velez",,,"Sica &#8211; Pizarro vs Álvares Jara - Álvarez Velez","Sica &#8211; Pizarro vs Álvares Jara - Álvarez Velez"
"Martiz &#8211; Kattan vs Eyzaguirre - Casasempere",,,"Martiz &#8211; Kattan vs Eyzaguirre - Casasempere","Martiz &#8211; Kattan vs Eyzaguirre - Casasempere"
"Botero Piedrahita &#8211; Verástegui vs Giusti - Rivera",,,"Botero Piedrahita &#8211; Verástegui vs Giusti - Rivera","Botero Piedrahita &#8211; Verástegui vs Giusti - Rivera"
