ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Ligas,Temporadas,Recintos,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
1219,"Amaro Castro &#8211; Arance Ibieta vs Sica - Pizarro",,,2026-03-26,sp_event,https://epleague.cl/event/1219/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,,publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1219,,,0,0,0,closed,closed,2026-03-30
1220,"Vogel &#8211; Silva vs Martiz - Kattan",,,2026-03-26,sp_event,https://epleague.cl/event/1220/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,,publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1220,,,0,0,0,closed,closed,2026-03-26
1221,"Álvares Jara &#8211; Álvarez Velez vs Botero Piedrahita - Verástegui",,,2026-03-27,sp_event,https://epleague.cl/event/1221/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 5",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1221,,,0,0,0,closed,closed,2026-03-27
1222,"Eyzaguirre &#8211; Casasempere vs Freyre - Brosky",,,2026-03-27,sp_event,https://epleague.cl/event/1222/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 6",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1222,,,0,0,0,closed,closed,2026-03-27
1223,"Giusti &#8211; Rivera vs Hurtado Sotomayor - Martínez Cuadro",,,2026-03-27,sp_event,https://epleague.cl/event/1223/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 7",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1223,,,0,0,0,closed,closed,2026-03-27
1224,"Montaner Reyes &#8211; Montaner Covarrubias vs Ponce - Unda",,,2026-03-27,sp_event,https://epleague.cl/event/1224/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 8",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1224,,,0,0,0,closed,closed,2026-03-27
1225,"Romero Duarte &#8211; Valenzuela vs Sfeir - Amigo",,,2026-03-27,sp_event,https://epleague.cl/event/1225/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 9",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1225,,,0,0,0,closed,closed,2026-03-27
1226,"Valenzuela Niedbalski &#8211; Garcia vs Vargas - Diaz",,,2026-03-27,sp_event,https://epleague.cl/event/1226/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 11",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1226,,,0,0,0,closed,closed,2026-03-27
1227,"Vera &#8211; Viel vs Vidal - Benítez",,,2026-03-27,sp_event,https://epleague.cl/event/1227/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 13",publish,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1227,,,0,0,0,closed,closed,2026-03-27
1229,"Romero &#8211; Merino vs Amaro Castro - Arance Ibieta",,,2026-04-02,sp_event,https://epleague.cl/event/1229/,,,,,,,,"Liga EPL>Liga 5ta",2026>Apertura,"Conecta Santa Blanca>Cancha 5",future,1,admin,pabloromeroduarte@gmail.com,Pablo,Romero,1229,,,0,0,0,closed,closed,2026-03-26
