id,Title,Content
472,"Eyzaguirre - Casasempere",&nbsp;
486,"Montaner Reyes - Montaner Covarrubias",&nbsp;
494,"Amaro Castro - Arance Ibieta",&nbsp;
503,"Botero Piedrahita - Verástegui",&nbsp;
505,"Romero - Merino",&nbsp;
549,"Álvares Jara - Álvarez Velez",
553,"Vidal - Benítez",
574,"Giusti - Rivera",&nbsp;
587,"Romero Duarte - Valenzuela",&nbsp;
592,"Sfeir - Amigo",&nbsp;
595,"Vera - Viel",&nbsp;
598,"Sica - Pizarro",&nbsp;
602,"Vargas - Diaz",&nbsp;
605,"Freyre - Brosky",&nbsp;
611,"Hurtado Sotomayor - Martínez Cuadro",&nbsp;
616,"Vogel - Silva",&nbsp;
619,"Valenzuela Niedbalski - Garcia",&nbsp;
627,"Martiz - Kattan",&nbsp;
628,"Ponce - Unda",
